PLAC	DIVI	OPEC	SECTION	DIVISION	DIVISION_NAME	DIVISION_NAME_ABBR	VENDOR_TYPE	VELIVERY_QUANTITY	UNIT	UNIT_PRICE	DELIVERY_AMT_EXCLUDE_VAT	DELIVERY_AMT_OF_VAT	DELIVERY_AMT_INCLUDE_VAT	CUR	LOTNO	STATUS_CODE	STATUS_DESC	TOTAL_PO_QTY	TOTAL_PO_RCV_QTY	TOTAL_PO_BAL_QTY	PO_STATUS
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008584889	260610462		5/6/2026	YD49508	088-1QK303-01F	YELLOW BAG	HDPE(YELLOW)SIZE 30.5X66X0.075MM	KESTREL 3D	2	4500	PCS	5.5	24750	1732.5	26482.5	BT		*	RECEIVED AT PBASS COMPLETE	50000	30000	20000	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008584889	260610462		5/6/2026	YD49509	088-1OH303-01F	ORANGE BAG	HDPE(ORANGE)SIZE 30.5X66X0.075MM	LIGHTNING 1/2D	3	18000	PCS	5.5	99000	6930	105930	BT		*	RECEIVED AT PBASS COMPLETE	250000	71000	179000	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008584889	260610462		5/6/2026	YD49511	088-1A89303-01F	PLASTIC BAG	HDPE (30.5X33CMX0.075MM)(REV.A)	SUMMIT 10D	1	1400	PCS	3.45	4830	338.1	5168.1	BT		*	RECEIVED AT PBASS COMPLETE	7000	1400	5600	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008586323	260610566		8/6/2026	YD49321	S106-561	DENATURE CLEAN SOLUTIONS NO.9	A1-45-1C-1(15KGS/CAN)	Q65/12-00021	1	4	CAN	2000	8000	560	8560	BT		*	RECEIVED AT PBASS COMPLETE	9	4	5	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008586323	260610566		8/6/2026	YD49322	S106-561-H	DENATURE CLEAN SOLUTIONS NO.9	A1-45-1C-1(15KGS/CAN)	Q65/12-00021	1	2	CAN	2000	4000	280	4280	BT		*	RECEIVED AT PBASS COMPLETE	4	2	2	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008586327	260610565		8/6/2026	YD49319	S106-547-1	IPA	A1-916-1C(15.5KG/CAN)	Q64/08/00060	1	20	CAN	1750	35000	2450	37450	BT		*	RECEIVED AT PBASS COMPLETE	40	20	20	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008586327	260610565		8/6/2026	YD49320	S106-547-1H	IPA	A1-916-1C(15.5KG/CAN)	Q64/08/00060	1	10	CAN	1750	17500	1225	18725	BT		*	RECEIVED AT PBASS COMPLETE	20	10	10	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008587940	260610641		8/6/2026	YD49505	088-1TL303-03F	PLASTIC BAG	LDPE SIZE  40* 54 CM *0.075MM	DORADO 10D	4	6000	PCS	6.46	38760	2713.2	41473.2	BT		*	RECEIVED AT PBASS COMPLETE	60000	25200	34800	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008587940	260610641		8/6/2026	YD49507	088-1SV303-01F	PINK BAG	HDPE(PINK)SIZE 30.5X66X0.075MM	ROSEWOOD 2D	4	6000	PCS	5.5	33000	2310	35310	BT		*	RECEIVED AT PBASS COMPLETE	50000	24700	25300	ACTIVE
T2	71	DM	71DM	T271DM	SPINDLE MOTOR	ASSY	E-PRO	2000670	SPECIALTY TECH CORPORATION LIMITED	THAILAND	D0008587940	260610641		8/6/2026	YD49508	088-1QK303-01F	YELLOW BAG	HDPE(YELLOW)SIZE 30.5X66X0.075MM	KESTREL 3D	3	4500	PCS	5.5	24750	1732.5	26482.5	BT		*	RECEIVED AT PBASS COMPLETE	50000	30000	20000	ACTIVE
